video	level	teacher	wpm
1	Complete Beginner	Yuki先生	51.53095084987292
2	Complete Beginner	Yuki先生	47.066223338066116
3	Complete Beginner	Yuki先生	37.34674630619302
4	Complete Beginner	Yuki先生	47.82345300923976
5	Complete Beginner	Yuki先生	64.98555869252881
6	Complete Beginner	Yuki先生	68.21561338289963
7	Complete Beginner	Yuki先生	76.1115953834878
8	Complete Beginner	Yuki先生	42.136634315405296
9	Complete Beginner	Yuki先生	41.1528769737725
10	Complete Beginner	Yuki先生	65.41446182574097
11	Complete Beginner	Yuki先生	56.14383645812128
12	Complete Beginner	Yuki先生	60.8579170496614
13	Beginner	Yuki先生	49.932467584345424
14	Beginner	Yuki先生	54.93820520694443
15	Intermediate	Yuki先生	107.6143934116958
16	Intermediate	Yuki先生	104.4795370769384
17	Intermediate	Yuki先生	120.32577102754043
18	Intermediate	Yuki先生	115.39620411964297
19	Intermediate	Yuki先生	117.06528128465307
20	Beginner	Yuki先生	47.24409448818897
21	Beginner	Yuki先生	42.98011883277299
22	Beginner	Yuki先生	65.15983785217483
23	Beginner	Yuki先生	56.88792533096058
24	Beginner	Yuki先生	65.55922403470984
25	Beginner	Yuki先生	60.346527764962005
26	Beginner	Yuki先生	67.13409290096406
27	Beginner	Yuki先生	55.58997465502675
28	Beginner	Yuki先生	75.21421770866391
29	Beginner	Yuki先生	52.34741784037559
30	Beginner	Yuki先生	75.5762898951376
31	Beginner	Yuki先生	64.82458873769728
32	Beginner	Yuki先生	58.08357039825374
33	Beginner	Yuki先生	52.08881400390528
34	Beginner	Yuki先生	59.39585095305611
35	Beginner	Yuki先生	54.113411389841055
36	Beginner	Yuki先生	50.37398104914193
37	Beginner	Yuki先生	48.134078212290504
38	Beginner	Yuki先生	62.38811648982278
39	Beginner	Yuki先生	58.01404212637914
40	Beginner	Yuki先生	57.72272981649564
41	Beginner	Yuki先生	67.53788177059418
42	Beginner	Yuki先生	64.62251996908013
43	Beginner	Yuki先生	61.45930782175801
44	Beginner	Yuki先生	62.17051450842621
45	Beginner	Yuki先生	59.49084407370179
46	Beginner	Yuki先生	68.92320718100615
47	Beginner	Yuki先生	68.73727087576374
48	Beginner	Yuki先生	63.821405079565714
49	Beginner	Yuki先生	65.39374541707737
50	Beginner	Yuki先生	63.503852997403996
51	Beginner	Yuki先生	72.020832501972
52	Beginner	Yuki先生	83.3899993563858
53	Beginner	Yuki先生	75.23262975990896
54	Beginner	Yuki先生	77.24839297639457
55	Beginner	Yuki先生	82.49211282282133
56	Beginner	Yuki先生	77.61814571630073
57	Beginner	Yuki先生	76.49077324364418
58	Beginner	Yuki先生	76.0994492318623
59	Beginner	Yuki先生	82.45265997975413
60	Beginner	Yuki先生	62.233939064440314
61	Beginner	Yuki先生	73.97006242149808
62	Beginner	Yuki先生	69.28886685269366
63	Beginner	Yuki先生	68.76853041418083
64	Beginner	Yuki先生	73.24806298692496
65	Beginner	Yuki先生	69.75320276525423
66	Beginner	Yuki先生	75.09096069981665
67	Beginner	Yuki先生	81.34656542103822
68	Beginner	Yuki先生	82.05910621827239
69	Beginner	Yuki先生	63.62253595941078
70	Beginner	Yuki先生	65.80156449021179
71	Beginner	Yuki先生	68.13807426259042
72	Beginner	Yuki先生	68.89419894692307
73	Beginner	Yuki先生	74.7050665484597
74	Beginner	Yuki先生	90.94225668277856
75	Beginner	Yuki先生	88.2708585247884
76	Complete Beginner	Yuki先生	56.42004809018543
77	Intermediate	Yuki先生	122.83247309091027
78	Complete Beginner	Yuki先生	56.10184359942527
79	Complete Beginner	Yuki先生	68.59608137443121
80	Complete Beginner	Yuki先生	60.1966231942187
81	Intermediate	Yuki先生	114.81361174612711
82	Complete Beginner	Yuki先生	74.50404114621603
83	Complete Beginner	Yuki先生	67.84104888947368
84	Complete Beginner	Yuki先生	61.773357526581655
85	Intermediate	Yuki先生	148.07446003677532
86	Complete Beginner	Yuki先生	74.50597879435668
87	Complete Beginner	Yuki先生	47.29598213916866
88	Beginner	Yuki先生	51.884312007011395
89	Beginner	Yuki先生	84.15521422797089
90	Beginner	Yuki先生	111.35460088106798
91	Complete Beginner	Yuki先生	80.3347280334728
92	Beginner	Yuki先生	104.35886573808838
93	Beginner	Yuki先生	95.69905950112913
94	Intermediate	Yuki先生	131.8661971830986
95	Intermediate	Yuki先生	125.71428571428572
96	Intermediate	Yuki先生	122.31615897457024
97	Intermediate	Yuki先生	138.88237183474587
98	Beginner	Yuki先生	105.69235359815337
99	Complete Beginner	Yuki先生	64.61290909162432
100	Complete Beginner	Yuki先生	88.69929615494098
101	Intermediate	Yuki先生	114.0730340779641
102	Beginner	Yuki先生	85.74772186283549
103	Complete Beginner	Yuki先生	75.5921052631579
104	Beginner	Yuki先生	99.54272656440605
105	Intermediate	Yuki先生	134.0951538579996
106	Intermediate	Yuki先生	131.56680285174502
107	Complete Beginner	Yuki先生	66.09416637096967
108	Beginner	Yuki先生	76.6266700332633
109	Intermediate	Yuki先生	108.03622779473565
110	Intermediate	Yuki先生	95.88429191953395
111	Complete Beginner	Yuki先生	59.18677372896407
112	Beginner	Yuki先生	78.40696308854648
113	Beginner	Yuki先生	87.38866073189243
114	Beginner	Yuki先生	76.02369292296717
115	Complete Beginner	Yuki先生	78.72276017142438
116	Beginner	Yuki先生	81.4430314041007
117	Intermediate	Yuki先生	102.71298433412403
118	Intermediate	Yuki先生	115.99966374474512
119	Complete Beginner	Yuki先生	63.370941690847545
120	Complete Beginner	Yuki先生	60.88950769031903
121	Beginner	Yuki先生	77.183486830758
122	Intermediate	Yuki先生	99.21861515902977
123	Intermediate	Yuki先生	89.47344911371826
124	Complete Beginner	Yuki先生	72.01426024955435
125	Complete Beginner	Yuki先生	62.61695825831176
126	Complete Beginner	Yuki先生	75.79255650581695
127	Beginner	Yuki先生	91.73259180999109
128	Complete Beginner	Yuki先生	85.61985106047811
129	Intermediate	Yuki先生	120.30320463662699
130	Beginner	Yuki先生	86.35833697135708
131	Beginner	Yuki先生	91.97080298617533
132	Intermediate	Yuki先生	112.81879934554259
133	Complete Beginner	Yuki先生	70.03333440815035
134	Beginner	Yuki先生	88.49891501354051
135	Intermediate	Yuki先生	115.63150074294205
136	Complete Beginner	Yuki先生	64.42636742528674
137	Beginner	Yuki先生	78.88603873523223
138	Beginner	Yuki先生	108.01751698658745
139	Beginner	Yuki先生	90.6934306569343
140	Beginner	Yuki先生	91.70302477352617
141	Intermediate	Yuki先生	101.4862790230668
