video	level	wpm	sps	mean_sentence_length	average_rel_reps	ne_spot	tfp_log_ranks_unique	adv_props	det_props	noun_props	sconj_props	wa_props	gai_props	kan_props	aux_props	num_props	pron_props	verb_props
1	Complete Beginner	51.53095084987292	1.5641293028383063	7.245283018867925	0.0128205128205128	4030	3.80666248977032	0.0331125827814569	0.0	0.1754966887417218	0.0364238410596026	0.8847457627118644	0.0576271186440678	0.0305084745762711	0.1589403973509933	0.0331125827814569	0.0596026490066225	0.1225165562913907
2	Complete Beginner	47.06622333806611	1.5661784512838726	6.672727272727273	0.015625	2807	3.73658699848178	0.0171821305841924	0.0068728522336769	0.3264604810996563	0.0	0.8503649635036497	0.0364963503649635	0.0656934306569343	0.1958762886597938	0.0309278350515463	0.0309278350515463	0.0962199312714776
3	Complete Beginner	37.34674630619302	1.2668972021376923	6.5	0.0169491525423728	2984	4.730627360117875	0.0353535353535353	0.0	0.2878787878787879	0.005050505050505	0.8465608465608465	0.0423280423280423	0.0846560846560846	0.1919191919191919	0.0959595959595959	0.0	0.1464646464646464
4	Complete Beginner	47.82345300923976	1.6745997389228906	7.264150943396227	0.0113636363636363	2109	4.1971162820171335	0.0325732899022801	0.003257328990228	0.3094462540716612	0.013029315960912	0.8223684210526315	0.0493421052631578	0.125	0.1856677524429967	0.01628664495114	0.0521172638436482	0.0488599348534201
5	Complete Beginner	64.98555869252881	2.1695178825044237	7.362068965517241	0.0125	5132	3.643550969211262	0.0092307692307692	0.003076923076923	0.32	0.0184615384615384	0.7612903225806451	0.0193548387096774	0.1709677419354838	0.1353846153846153	0.12	0.0369230769230769	0.0892307692307692
6	Complete Beginner	68.21561338289963	1.9609665427509293	8.576923076923077	0.0151515151515151	1540	3.639304826284662	0.0081743869209809	0.0027247956403269	0.2506811989100817	0.0544959128065395	0.8505747126436781	0.057471264367816	0.0890804597701149	0.1716621253405994	0.0681198910081744	0.0108991825613079	0.1553133514986376
7	Complete Beginner	76.1115953834878	2.3081952895507896	7.9	0.0135135135135135	1617	3.923394382880427	0.0128865979381443	0.0	0.3041237113402061	0.0309278350515463	0.8179347826086957	0.0869565217391304	0.0951086956521739	0.1649484536082474	0.0515463917525773	0.0025773195876288	0.1288659793814432
8	Complete Beginner	42.136634315405296	1.3719985787024904	7.37037037037037	0.0208333333333333	12478	3.2853963610127304	0.0132450331125827	0.0397350993377483	0.23841059602649	0.0397350993377483	0.96	0.0	0.0066666666666666	0.1986754966887417	0.0463576158940397	0.0596026490066225	0.1456953642384106
9	Complete Beginner	41.1528769737725	1.2325982475236208	7.432432432432432	0.0192307692307692	2058	3.032324896681065	0.0048309178743961	0.0434782608695652	0.2995169082125604	0.0289855072463768	0.9705882352941176	0.0	0.0147058823529411	0.2028985507246377	0.0289855072463768	0.0579710144927536	0.0869565217391304
10	Complete Beginner	65.41446182574097	2.1920803696923836	7.029411764705882	0.024390243902439	3835	2.833213344056216	0.0425531914893617	0.0053191489361702	0.2074468085106383	0.0212765957446808	0.8624338624338624	0.0	0.0529100529100529	0.2127659574468085	0.0	0.0372340425531914	0.0744680851063829
