level	rank	word	coverage_perc	coverage_perc_str
Complete Beginner	1	の	3.3655931564613204	3.37%
Complete Beginner	14	する	42.12431290843282	42.12%
Complete Beginner	27	私	52.154249834671376	52.15%
Complete Beginner	40	それ	55.915920613813654	55.92%
Complete Beginner	53	皆	59.24169268074152	59.24%
Complete Beginner	66	中	61.09621770758521	61.1%
Complete Beginner	79	語	63.5210376238187	63.52%
Complete Beginner	92	どう	64.8529108505358	64.85%
Complete Beginner	105	よく	66.28007025577939	66.28%
Complete Beginner	118	例えば	67.16680058878325	67.17%
Complete Beginner	131	買う	68.42685363616324	68.43%
Complete Beginner	144	名前	69.17776561022264	69.18%
Complete Beginner	157	え	70.01685285396326	70.02%
Complete Beginner	170	息子	70.77772010040603	70.78%
Complete Beginner	183	風	71.43903462301516	71.44%
Complete Beginner	196	悪い	72.28736604825463	72.29%
Complete Beginner	209	店	72.88681566391001	72.89%
Complete Beginner	222	多分	73.36822419273408	73.37%
Complete Beginner	235	誰	74.0842927134517	74.08%
Complete Beginner	248	東京	74.67023160230109	74.67%
Complete Beginner	261	あんまり	75.21350503807892	75.21%
Complete Beginner	274	せる	75.97508337540621	75.98%
Complete Beginner	287	さっき	76.6406644433225	76.64%
Complete Beginner	300	足	77.09362933676553	77.09%
Complete Beginner	313	ず	77.56081604789908	77.56%
Complete Beginner	326	山嵐	77.87440712797503	77.87%
Complete Beginner	339	願う	78.21146420724033	78.21%
Complete Beginner	352	第	78.6985614631406	78.7%
Complete Beginner	365	服	79.26530089810778	79.27%
Complete Beginner	378	卵	79.60164688648857	79.6%
Complete Beginner	391	会う	79.93017087513955	79.93%
Complete Beginner	404	撮る	80.28287195386442	80.28%
Complete Beginner	417	いつ	80.55521976263786	80.56%
Complete Beginner	430	漫画	80.83752284379466	80.84%
Complete Beginner	443	緑	81.21084555817079	81.21%
Complete Beginner	456	時々	81.38719609753322	81.39%
Complete Beginner	469	テレビ	81.62967808915657	81.63%
Complete Beginner	482	笑う	82.01082280326249	82.01%
Complete Beginner	495	駅	82.27819297584425	82.28%
Complete Beginner	508	バス	82.50005333181633	82.5%
Complete Beginner	521	生活	82.57898441999872	82.58%
Complete Beginner	534	いろいろ	82.74040205078612	82.74%
Complete Beginner	547	どの	83.05185985820847	83.05%
Complete Beginner	560	泣く	83.21185530722681	83.21%
Complete Beginner	573	返す	83.39389457366546	83.39%
Complete Beginner	586	電話	83.75086219769749	83.75%
Complete Beginner	599	甘い	84.01183255231851	84.01%
Complete Beginner	612	比べる	84.10996309438309	84.11%
Complete Beginner	625	靴	84.40648799323041	84.41%
Complete Beginner	638	公園	84.67599143846574	84.68%
Complete Beginner	651	建物	84.8118097974102	84.81%
Complete Beginner	664	じゃ	85.17375505763391	85.17%
Complete Beginner	677	元々	85.30032923507953	85.3%
Complete Beginner	690	ほど	85.48734613770986	85.49%
Complete Beginner	703	病気	85.68218504006997	85.68%
Complete Beginner	716	白	85.8692019427003	85.87%
Complete Beginner	729	歌う	85.99435393837686	85.99%
Complete Beginner	742	休み	86.11737266139986	86.12%
Complete Beginner	755	台	86.29870083695397	86.3%
Complete Beginner	768	行ける	86.4693626492402	86.47%
Complete Beginner	781	性	86.54829373742258	86.55%
Complete Beginner	794	油	86.67629009663726	86.68%
Complete Beginner	807	校長	86.81139736469719	86.81%
Complete Beginner	820	店員	86.94366026921901	86.94%
Complete Beginner	833	ノート	87.19894189676383	87.2%
Complete Beginner	846	健康	87.32836043774755	87.33%
Complete Beginner	859	馬	87.50328879534092	87.5%
Complete Beginner	872	点	87.64052933605444	87.64%
Complete Beginner	885	ページ	87.74434860519523	87.74%
Complete Beginner	898	被る	87.9270989625184	87.93%
Complete Beginner	911	飴	88.04087350404255	88.04%
Complete Beginner	924	みかん	88.15535913645122	88.16%
Complete Beginner	937	会話	88.35090912969586	88.35%
Complete Beginner	950	下がる	88.58130257628227	88.58%
Complete Beginner	963	こちら	88.66307802800276	88.66%
Complete Beginner	976	うさぎ	88.82805111321278	88.83%
Complete Beginner	989	サイト	88.93115929146904	88.93%
Complete Beginner	1002	牛乳	89.04564492387772	89.05%
Complete Beginner	1015	下宿	89.07835510456592	89.08%
Complete Beginner	1028	懸命	89.16937473778523	89.17%
Complete Beginner	1041	少年	89.2419060080069	89.24%
Complete Beginner	1054	過ぎる	89.35923600395367	89.36%
Complete Beginner	1067	納豆	89.43034509240626	89.43%
Complete Beginner	1080	重ねる	89.52278690739463	89.52%
Complete Beginner	1093	追う	89.62447290388185	89.62%
Complete Beginner	1106	危ない	89.69131544702729	89.69%
Complete Beginner	1119	教科	89.7794907167085	89.78%
Complete Beginner	1132	涼しい	89.92313107538274	89.92%
Complete Beginner	1145	グループ	90.026239253639	90.03%
Complete Beginner	1158	発音	90.1272141592417	90.13%
Complete Beginner	1171	順番	90.27369888145404	90.27%
Complete Beginner	1184	リンゴ	90.32560851602443	90.33%
Complete Beginner	1197	大切	90.4287166942807	90.43%
Complete Beginner	1210	願い	90.53253596342148	90.53%
Complete Beginner	1223	ポテト	90.61075596071933	90.61%
Complete Beginner	1236	ごめん	90.6868426853636	90.69%
Complete Beginner	1249	トトロ	90.7600850464698	90.76%
Complete Beginner	1262	ロシア	90.80843922661757	90.81%
Complete Beginner	1275	偉い	90.94425758556201	90.94%
Complete Beginner	1288	地球	91.07794267185288	91.08%
Complete Beginner	1301	指	91.1270079428852	91.13%
Complete Beginner	1314	人口	91.24931557502364	91.25%
Complete Beginner	1327	金曜	91.368778843624	91.37%
Complete Beginner	1340	約束	91.3936670245824	91.39%
Complete Beginner	1353	畑	91.53446301971856	91.53%
Complete Beginner	1366	平日	91.60486101728662	91.6%
Complete Beginner	1379	アイロン	91.70441374112023	91.7%
Complete Beginner	1392	兄ちゃん	91.76556755718947	91.77%
